department,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01
电源制造三处,0,0,0,0,0,0,0,0,1
电源品保部,0,0,0,1,0,0,0,0,0
电源品质部（JX）,0,0,0,0,0,0,0,0,1
电源智能制造部,0,0,1,0,0,0,0,0,0
电源研发一组,0,1,0,0,0,0,0,0,0
电源研发三组,0,0,0,0,1,0,0,0,0
电源研发二组,0,0,0,0,0,0,0,0,1
电源精益制造部,0,0,0,0,0,0,0,0,1
电源线品质部,0,0,0,0,0,1,0,0,0
电源连接器模组,1,0,0,0,0,0,1,0,0
电连接系统架构部,0,0,0,0,0,0,0,0,1
电连接线缆研发部,0,0,0,0,0,0,0,0,1
硬件开发,0,1,0,0,0,0,0,0,1
立讯技术研究院,0,1,0,0,0,0,0,1,0
策略采购处,0,0,0,0,1,0,0,1,0
策略采购课,0,0,0,0,1,0,0,0,1
精益制造部,0,0,1,0,0,0,0,0,0
精益改善二课,0,0,0,0,0,0,1,0,0
系统架构部,1,0,0,0,0,0,0,0,1
线缆品质部,0,0,0,0,0,0,0,0,1
线缆生产课,0,1,0,0,0,0,0,0,0
线缆生技二课,0,1,0,0,0,0,0,0,0
结构件企划部,1,0,0,0,0,0,0,0,0
结构件品质部,0,0,0,0,0,0,0,1,0
结构件工程部,2,0,0,0,0,0,0,0,0
结构件生产一部,0,0,0,0,0,0,1,0,0
结构研发部,1,0,1,1,0,2,1,0,1
结构组件生产课,0,0,0,0,0,0,0,0,1
背板连接器模组,0,1,0,2,2,0,0,0,0
能源IE课,0,0,0,0,0,0,0,1,0
能源PE课,0,0,0,0,1,0,1,0,0
能源SMT工程课,0,0,0,0,1,0,0,0,0
能源仓储课,0,0,1,0,1,1,2,0,0
能源制造一课,1,0,0,0,1,0,0,0,0
能源品质部(DG),1,0,0,0,0,0,1,0,0
能源总装制造课,0,1,1,0,0,1,0,0,0
董事长室(TECH),0,0,0,0,0,1,0,0,0
董秘室,0,0,0,0,0,0,0,0,2
讯滔制造处,0,0,0,0,0,0,0,0,1
讯滔厂务课,0,0,0,0,1,0,0,0,0
讯滔资材课,0,0,1,0,1,0,0,0,0
设备仪器采购,1,0,0,0,0,1,1,0,0
设备工程课,1,1,2,1,1,1,1,1,2
设备治具课,0,1,0,0,0,1,0,0,1
质量体系管理课,1,0,1,0,0,1,0,1,2
质量管理处,0,1,1,1,1,1,2,1,0
超聚变制造部,0,0,0,0,0,1,1,1,0
